algoritma,auc,WR@top10%,n@10%,WR@top20%,n@20%,WR@top40%,n@40%
LogisticRegression,0.569,73.8,347,66.6,695,62.2,1391
GaussianNB,0.554,70.9,347,65.2,695,60.4,1391
KNN,0.552,69.5,347,65.3,695,61.3,1391
DecisionTree,0.616,75.5,347,67.2,695,64.1,1391
RandomForest,0.628,77.5,347,71.1,695,66.9,1391
ExtraTrees,0.622,77.5,347,72.2,695,66.5,1391
AdaBoost,0.626,76.4,347,71.8,695,67.3,1391
GradientBoosting,0.618,76.1,347,70.1,695,66.2,1391
HistGradientBoost,0.637,79.8,347,73.4,695,67.9,1391
MLP,0.601,69.5,347,67.6,695,65.1,1391
