skenario,hari_data,setup_valid,base_wr%,auc,thr,n_trade,winrate%,exp_usd,pnl_usd,avg_sl
1h  TP6  H24,531,2084,59.4,0.591,0.6,546,65.8,1.23,669.9,7.39
1h  TP6  H24,531,2084,59.4,0.591,0.7,303,70.6,1.73,524.8,7.39
1h  TP6  H24,531,2084,59.4,0.591,0.8,117,76.1,2.39,280.2,7.39
5m  TP6  H24,77,8090,49.6,0.601,0.6,1338,57.2,0.33,445.3,6.16
5m  TP6  H24,77,8090,49.6,0.601,0.7,661,61.4,0.74,487.6,6.16
5m  TP6  H24,77,8090,49.6,0.601,0.8,234,62.8,0.73,171.0,6.16
5m  TP2  H48,77,2545,53.8,0.63,0.6,587,65.6,0.28,164.4,2.65
5m  TP2  H48,77,2545,53.8,0.63,0.7,307,72.0,0.53,161.8,2.65
5m  TP2  H48,77,2545,53.8,0.63,0.8,97,84.5,1.18,114.2,2.65
5m  TP1.5 H72,77,1573,51.8,0.652,0.6,223,69.5,0.35,77.5,2.12
5m  TP1.5 H72,77,1573,51.8,0.652,0.7,75,81.3,0.8,59.6,2.12
5m  TP1.5 H72,77,1573,51.8,0.652,0.8,7,85.7,0.97,6.8,2.12
5m  TP3  H96,77,4407,54.8,0.636,0.6,1156,64.3,0.41,476.9,3.65
5m  TP3  H96,77,4407,54.8,0.636,0.7,572,69.9,0.76,435.8,3.65
5m  TP3  H96,77,4407,54.8,0.636,0.8,206,79.6,1.49,307.4,3.65
